ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100342,7024,14,112000198,13281,봉원동사거리,126.9467009,37.56679635
116900009,구로05,14,116900153,17918,성화단지앞,126.8556554,37.50057963
116900015,구로08,14,116000084,17170,오류1동주민센터.오류문화센터,126.844586,37.49652412
100100421,6014,14,116000011,17011,경인중학교.개봉사거리,126.8554374,37.49744859
100100601,6640A,14,114000070,15173,오목교역.동신한방병원,126.8769219,37.52408548
112900002,서대문12,14,112900067,13586,산골고개,126.9405233,37.59508876
112900011,서대문04,14,112900186,13922,신촌기차역,126.942636,37.558729
100100303,6625,14,114000078,15181,목동14단지C상가앞,126.874176,37.514047
100100392,9408,14,206000245,47017,푸른마을,127.1231805,37.3698934
100100389,9401,14,206000245,47017,푸른마을,127.1231805,37.3698934
100900008,종로02,14,100900116,01683,종각역.YMCA,126.9850893,37.57039764
100100352,7720,14,111000197,12287,북한산대창센시티아파트,126.9296816,37.62384883
122900009,강남10,14,122000344,23458,구룡마을,127.064041,37.478975
113900012,마포06,14,112000098,13181,삼성래미안2차아파트,126.913812,37.57125
100100300,6620,14,114000157,15260,남부법원.검찰청교차로,126.8659323,37.5218496
100100301,6623,14,114000157,15260,남부법원.검찰청교차로,126.8659323,37.5218496
100100337,7017,14,111000076,12164,응암초등학교,126.920307,37.587477
100100345,7611,14,111000076,12164,응암초등학교,126.920307,37.587477
